	ZipCode	Latitude	Longitude	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SiteEnergyUse(kBtu)	TotalGHGEmissions	Distribution Center	Hotel	Office	Other	Refrigerated Warehouse	Retail Store	Self-Storage Facility	Senior Care Community	Supermarket / Grocery Store	Warehouse	Worship Facility	Public services	Library	Banks	Education	Manufacturing/Industrial Plant	Food Service	Mall	General Medical	Data Center	Entertainment
0	98101.0	47.6122	-122.33798999999999	1927.0	1.0	12.0	88434.0	60.0	7226362.5	249.98	0.0	88434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	98101.0	47.613170000000004	-122.33393000000001	1996.0	1.0	11.0	103566.0	61.0	8387933.0	295.86	0.0	83880.0	0.0	15064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4622.0	0.0	0.0	0.0	0.0
2	98101.0	47.613929999999996	-122.3381	1969.0	1.0	41.0	956110.0	43.0	72587024.0	2089.28	0.0	756493.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	98101.0	47.61412	-122.33663999999999	1926.0	1.0	10.0	61320.0	56.0	6794584.0	286.43	0.0	61320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	98121.0	47.61375	-122.34047	1980.0	1.0	18.0	175580.0	75.0	14172606.0	505.01	0.0	123445.0	0.0	68009.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	98101.0	47.61623	-122.33657	1999.0	1.0	2.0	97288.0		12086616.0	301.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	98101.0	47.6139	-122.33283	1926.0	1.0	11.0	83008.0	27.0	5758795.0	176.14	0.0	81352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	98101.0	47.61327	-122.33136	1926.0	1.0	8.0	102761.0		6298131.5	221.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102761.0
8	98104.0	47.602940000000004	-122.33263000000001	1904.0	1.0	15.0	163984.0	43.0	13723820.0	392.16	0.0	163984.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	98101.0	47.60695	-122.33413999999999	1969.0	1.0	11.0	153163.0	30.0	16016644.0	691.26	0.0	133884.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	98101.0	47.60713	-122.33323	1998.0	1.0	25.0	333176.0	36.0	26941110.0	740.97	0.0	336640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	98104.0	47.60699	-122.33346	1928.0	1.0	9.0	65009.0	48.0	6596057.5	328.23	0.0	65009.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	98101.0	47.608090000000004	-122.33211999999999	1980.0	1.0	33.0	315952.0	58.0	22325364.0	648.62	0.0	295511.0	0.0	57600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	98101.0	47.60755	-122.33243999999999	1922.0	1.0	11.0	92190.0	35.0	10750010.0	511.39	0.0	67390.0	0.0	25200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	98154.0	47.60649	-122.33296999999999	2004.0	1.0	11.0	412000.0		18588860.0	181.38	0.0	0.0	0.0	49000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364913.0	0.0	0.0	0.0	0.0	0.0	0.0	1074.0	0.0
16	98104.0	47.60546	-122.33278999999999	1930.0	1.0	6.0	103911.0		9956396.0	433.86	0.0	0.0	40000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	98104.0	47.606809999999996	-122.33078	1983.0	1.0	28.0	416281.0	31.0	33556756.0	802.89	0.0	348329.0	0.0	85000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	98104.0	47.60515	-122.33158999999999	1907.0	1.0	5.0	57452.0		7606084.5	273.02	0.0	0.0	9741.0	16442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15505.0	0.0	0.0	0.0	0.0
19	98104.0	47.60376	-122.33193999999999	1916.0	1.0	10.0	104352.0	39.0	10154608.0	349.32	0.0	104352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	98104.0	47.60265	-122.33051	1916.0	1.0	10.0	540360.0	76.0	44984468.0	1265.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	537150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	98104.0	47.60378	-122.32842	1985.0	1.0	19.0	385274.0		47859812.0	1699.45	0.0	0.0	0.0	385274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	98118.0	47.545759999999994	-122.26853	1961.0	1.0	2.0	56228.0	95.0	1539478.5	38.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58916.0	0.0	0.0	0.0	0.0	0.0	0.0
23	98105.0	47.65959	-122.31755	2001.0	1.0	6.0	88592.0	84.0	3663534.5	90.01	0.0	58006.0	0.0	30586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	98121.0	47.618159999999996	-122.33628999999999	1928.0	1.0	7.0	126593.0		11343686.0	388.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125000.0	0.0	0.0	0.0	0.0	0.0	0.0
25	98101.0	47.615	-122.33081000000001	1930.0	1.0	2.0	67224.0		1310236.625	9.13	0.0	0.0	0.0	67224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	98101.0	47.613009999999996	-122.32928999999999	1991.0	1.0	8.0	158676.0		5328051.5	256.57	0.0	112676.0	0.0	42000.0	0.0	4500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	98101.0	47.61784	-122.32966	2001.0	1.0	10.0	171866.0	57.0	11061916.0	328.63	0.0	128909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	98121.0	47.61558	-122.34186000000001	1978.0	1.0	5.0	68410.0	57.0	4456714.5	128.44	0.0	47994.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	98125.0	47.70994	-122.29301000000001	1949.0	1.0	2.0	160645.0	75.0	6779173.0	270.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164229.0	0.0	0.0	0.0	0.0	0.0	0.0
32	98070.0	47.6641	-122.33118	1906.0	1.0	3.0	87262.0		4145920.5	157.77	0.0	0.0	40943.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18153.0	0.0	0.0	0.0	0.0	0.0	4307.0
33	98105.0	47.66583	-122.29965	1994.0	1.0	4.0	81871.0	29.0	6668568.5	215.0	0.0	81871.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	98105.0	47.66172	-122.29598	1955.0	1.0	2.0	110356.0		318364.8125	3.93	0.0	0.0	0.0	0.0	0.0	0.0	26225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	98108.0	47.534929999999996	-122.31788	1992.0	1.0	3.0	494835.0	8.0	448385312.0	16870.98	0.0	0.0	757027.0	639931.0	0.0	0.0	0.0	0.0	0.0	459748.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	98118.0	47.511379999999996	-122.28875	1961.0	3.0	2.0	714095.0		44731160.0	311.84	0.0	0.0	71000.0	0.0	276000.0	0.0	0.0	0.0	0.0	276000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	98199.0	47.65671	-122.39047	1990.0	1.0	2.0	54986.0	97.0	1650279.25	31.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54986.0	0.0	0.0	0.0	0.0	0.0	0.0
38	98115.0	47.682520000000004	-122.29498000000001	1950.0	1.0	2.0	175565.0	88.0	6399127.5	266.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182861.0	0.0	0.0	0.0	0.0	0.0	0.0
39	98107.0	47.66587	-122.38476000000001	1961.0	1.0	2.0	94900.0	57.0	6186461.5	130.56	0.0	0.0	55586.0	0.0	0.0	0.0	0.0	0.0	0.0	39314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	98144.0	47.58034	-122.31132	1900.0	1.0	2.0	52554.0	83.0	2951331.25	83.86	0.0	0.0	51029.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7849.0	0.0	0.0	0.0	0.0	0.0	0.0
41	98103.0	47.68891	-122.33553	1954.0	1.0	3.0	175015.0	95.0	6994740.5	247.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175015.0	0.0	0.0	0.0	0.0	0.0	0.0
42	98121.0	47.61351	-122.35128999999999	1911.0	1.0	3.0	70586.0		2158629.0	45.43	0.0	0.0	3859.0	0.0	0.0	0.0	38439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28197.0	0.0	0.0	0.0	0.0	0.0	0.0
43	98101.0	47.60946	-122.33337	1969.0	1.0	24.0	332210.0	67.0	16163194.0	295.33	0.0	348630.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	98101.0	47.6113	-122.33658999999999	1973.0	1.0	5.0	168115.0	78.0	9536161.0	66.48	0.0	0.0	103362.0	0.0	0.0	65676.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	493.0	0.0
45	98101.0	47.61076	-122.33765	1920.0	1.0	2.0	57428.0		1247362.0	33.26	0.0	0.0	0.0	5681.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51747.0	0.0	0.0	0.0
46	98101.0	47.610479999999995	-122.33793999999999	1910.0	1.0	8.0	59400.0	14.0	5071974.0	35.36	0.0	0.0	34947.0	0.0	0.0	4993.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	98101.0	47.60886	-122.33743999999999	1926.0	1.0	2.0	52549.0		15026196.0	584.31	0.0	0.0	5459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23500.0	0.0	0.0	0.0	23500.0
48	98101.0	47.61233	-122.33431999999999	1930.0	1.0	20.0	98634.0	71.0	4841347.5	59.19	0.0	83591.0	0.0	10043.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000.0	0.0	0.0	0.0	0.0
49	98101.0	47.61087	-122.33339	1982.0	1.0	34.0	994212.0	63.0	80469216.0	2451.58	0.0	994212.0	0.0	117668.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	98101.0	47.609970000000004	-122.34138	1985.0	1.0	7.0	71150.0	98.0	5348309.0	134.38	0.0	41340.0	0.0	13730.0	0.0	9604.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	98101.0	47.61155	-122.34114	1908.0	1.0	7.0	122810.0	99.0	5401277.5	227.18	0.0	88360.0	0.0	0.0	0.0	8000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26450.0
52	98109.0	47.619859999999996	-122.34413	1959.0	1.0	5.0	113173.0	86.0	5284343.5	144.79	0.0	70627.0	0.0	42546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	98109.0	47.62001	-122.34273999999999	2000.0	1.0	7.0	150453.0	84.0	6715187.0	199.95	0.0	107547.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3000.0	0.0	0.0	0.0	0.0
54	98109.0	47.62025	-122.34313999999999	1997.0	1.0	6.0	116300.0	80.0	5827595.5	162.39	0.0	88490.0	0.0	28300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	98119.0	47.62023	-122.35951000000001	1998.0	1.0	6.0	155602.0	81.0	6836900.0	152.76	0.0	155602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	98136.0	47.63442	-122.30793	1911.0	1.0	3.0	56072.0	76.0	3234787.75	146.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56072.0	0.0	0.0	0.0	0.0	0.0	0.0
57	98109.0	47.62519	-122.34456000000002	1999.0	1.0	4.0	122942.0	94.0	5337334.0	171.64	0.0	78051.0	0.0	44891.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	98122.0	47.60823	-122.30956	1962.0	1.0	2.0	54984.0	71.0	3375211.0	87.98	0.0	0.0	54984.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	98126.0	47.558370000000004	-122.37751000000002	1922.0	1.0	5.0	217603.0	54.0	42792072.0	1727.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	98133.0	47.72426	-122.35598999999999	1970.0	1.0	2.0	93397.0	1.0	16402563.0	609.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	98109.0	47.61988	-122.33211000000001	2008.0	1.0	6.0	84103.0	74.0	3706100.25	67.06	0.0	63371.0	0.0	20732.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	98122.0	47.61244	-122.3214	1965.0	1.0	3.0	179014.0	48.0	16701055.0	430.84	0.0	0.0	179014.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	98104.0	47.608979999999995	-122.32693	1908.0	1.0	7.0	76631.0	71.0	7258758.5	262.75	0.0	76631.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	98104.0	47.60845	-122.32637	1983.0	1.0	6.0	99780.0		15473117.0	481.97	0.0	0.0	17020.0	20868.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	98109.0	47.622370000000004	-122.33805	1929.0	1.0	2.0	58320.0	96.0	1049748.625	39.06	0.0	0.0	0.0	0.0	0.0	72072.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	98109.0	47.62424	-122.33646	2010.0	1.0	5.0	316306.0	96.0	13795954.0	138.85	0.0	0.0	261826.0	15139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	98109.0	47.62642	-122.33325	1990.0	1.0	7.0	282863.0	37.0	19459304.0	526.85	0.0	235788.0	0.0	51537.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	98109.0	47.62208	-122.35398	1962.0	1.0	1.0	389000.0		23658978.0	607.41	0.0	0.0	0.0	368000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	98109.0	47.62208	-122.35398	1962.0	1.0	1.0	91213.0		8141155.5	344.2	0.0	0.0	0.0	65000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	98109.0	47.62208	-122.35398	1938.0	1.0	5.0	396085.0		20955026.0	804.2	0.0	0.0	0.0	278500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	98109.0	47.62112	-122.33628999999999	2010.0	1.0	12.0	571329.0	91.0	39605888.0	617.52	0.0	0.0	598801.0	26203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	98109.0	47.62395	-122.35077	1962.0	1.0	2.0	52000.0		2726369.0	101.83	0.0	0.0	0.0	52000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	98109.0	47.62395	-122.35077	1928.0	1.0	1.0	60696.0		875943.3125	6.11	0.0	0.0	0.0	108000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	98109.0	47.62395	-122.35143000000001	1928.0	1.0	2.0	262048.0		20723248.0	490.73	0.0	0.0	0.0	296000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	98109.0	47.623909999999995	-122.34836999999999	1986.0	1.0	2.0	66240.0		4166306.25	29.04	4551.0	0.0	45900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5181.0	0.0
77	98109.0	47.624190000000006	-122.34443	2010.0	1.0	6.0	920598.0	93.0	36667044.0	674.09	0.0	0.0	729584.0	6000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	98033.0	47.62053	-122.35842	1970.0	1.0	4.0	76213.0	68.0	3476212.5	48.76	0.0	0.0	48546.0	2406.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	98109.0	47.62291	-122.35708000000001	2002.0	1.0	6.0	96910.0	56.0	5155568.5	152.14	0.0	59976.0	0.0	36934.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	98105.0	47.65772	-122.31756000000001	1962.0	2.0	4.0	50017.0	53.0	5448975.0	191.2	0.0	50017.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	98112.0	47.625479999999996	-122.30828000000001	1923.0	1.0	3.0	67743.0	34.0	2646879.0	78.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67743.0	0.0	0.0	0.0	0.0	0.0	0.0
83	98112.0	47.62644	-122.30429	1908.0	1.0	6.0	194104.0	100.0	6219841.5	243.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194104.0	0.0	0.0	0.0	0.0	0.0	0.0
84	98144.0	47.58408	-122.30125	2003.0	1.0	3.0	99433.0	63.0	4897760.0	34.14	0.0	0.0	63681.0	35752.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	98108.0	47.56413	-122.31208000000001	1957.0	1.0	1.0	130862.0	61.0	6456026.0	238.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134446.0	0.0	0.0	0.0	0.0	0.0	0.0
87	98118.0	47.55478	-122.27596000000001	1989.0	1.0	3.0	59955.0	93.0	1633399.375	20.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59955.0	0.0	0.0	0.0	0.0	0.0	0.0
88	98119.0	47.636829999999996	-122.35896000000001	1964.0	1.0	2.0	93218.0	86.0	2887392.0	84.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93218.0	0.0	0.0	0.0	0.0	0.0	0.0
89	98115.0	47.67524	-122.31533999999999	1941.0	1.0	4.0	56521.0		6357632.0	44.32	0.0	0.0	0.0	49000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	98115.0	47.67559	-122.31768999999998	1929.0	1.0	2.0	206934.0		4253577.5	133.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	98133.0	47.73141	-122.3458	2001.0	1.0	4.0	51390.0	89.0	3611538.0	127.29	0.0	51390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	98133.0	47.72463	-122.35315	1963.0	1.0	2.0	131013.0	88.0	3894584.5	124.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131909.0	0.0	0.0	0.0	0.0	0.0	0.0
93	98133.0	47.7257	-122.33684	1959.0	1.0	1.0	245587.0	92.0	11765682.0	443.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245587.0	0.0	0.0	0.0	0.0	0.0	0.0
94	98133.0	47.72551	-122.3423	2002.0	1.0	3.0	69138.0	78.0	3242458.0	89.02	0.0	70609.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	98104.0	47.6048	-122.3368	1904.0	1.0	5.0	190980.0	98.0	6505995.0	142.39	0.0	190980.0	0.0	19051.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	98111.0	47.60804	-122.3367	1998.0	1.0	6.0	284100.0		14641502.0	429.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189750.0
98	98107.0	47.66737	-122.37956000000001	1954.0	4.0	5.0	285333.0	14.0	68090728.0	1990.5	0.0	0.0	0.0	148865.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	302661.0	0.0	0.0
99	98107.0	47.6706	-122.36225	1991.0	1.0	2.0	55513.0	93.0	1513570.75	10.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59097.0	0.0	0.0	0.0	0.0	0.0	0.0
100	98104.0	47.60112	-122.32785	2006.0	1.0	4.0	61156.0		9363374.0	176.75	0.0	0.0	29219.0	42755.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	98104.0	47.59809	-122.32283000000001	1910.0	1.0	4.0	72820.0		2010454.625	46.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58000.0
102	98109.0	47.62614	-122.3467	1996.0	1.0	4.0	162222.0	76.0	7946961.0	228.4	0.0	113702.0	0.0	32692.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	98144.0	47.57589	-122.29365	1990.0	1.0	4.0	289588.0	90.0	8819852.0	170.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289588.0	0.0	0.0	0.0	0.0	0.0	0.0
104	98122.0	47.61495	-122.32177	1915.0	1.0	3.0	63330.0		3059758.0	74.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64820.0	0.0	0.0	0.0	0.0	0.0	0.0
105	98106.0	47.547	-122.35307	1970.0	27.0	2.0	441071.0		38301744.0	866.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	483000.0	0.0	0.0	0.0	0.0	0.0	0.0
106	98115.0	47.67828	-122.26456	2002.0	1.0	2.0	96300.0		16319835.0	222.02	0.0	0.0	92300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4944.0	0.0
107	98134.0	47.59545	-122.32146000000002	1950.0	1.0	1.0	67356.0		7475577.5	204.08	0.0	0.0	0.0	68359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
