	ZipCode	Latitude	Longitude	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SiteEnergyUse(kBtu)	TotalGHGEmissions	Distribution Center	Hotel	Office	Other	Refrigerated Warehouse	Retail Store	Self-Storage Facility	Senior Care Community	Supermarket / Grocery Store	Warehouse	Worship Facility	Public services	Library	Banks	Education	Manufacturing/Industrial Plant	Food Service	Mall	General Medical	Data Center	Entertainment
1355	98118.0	47.52499	-122.27466000000001	2000.0	1.0	2.0	75605.0	83.0	2274873.5	50.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75605.0	0.0	0.0	0.0	0.0	0.0	0.0
1356	98118.0	47.525259999999996	-122.27091999999999	2008.0	1.0	2.0	29525.0	77.0	1297812.75	24.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29525.0	0.0	0.0	0.0	0.0	0.0	0.0
1359	98108.0	47.55072	-122.30265	1977.0	1.0	99.0	21948.0	80.0	326001.1875	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21948.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1360	98112.0	47.64033	-122.29135	1927.0	1.0	3.0	31191.0		5876439.0	167.98	0.0	0.0	0.0	0.0	0.0	0.0	1096.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30095.0
1362	98125.0	47.72039	-122.29728999999999	1947.0	1.0	1.0	37377.0		3040978.0	111.73	0.0	0.0	840.0	31303.0	0.0	3468.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1364	98108.0	47.53906	-122.32031	1977.0	1.0	1.0	29380.0	33.0	856088.625	5.97	0.0	0.0	6837.0	5775.0	0.0	0.0	0.0	0.0	0.0	16768.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1373	98122.0	47.60321889	-122.3205567	1922.0	1.0	2.0	22688.0	87.0	331675.0	7.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1391	98118.0	47.56028	-122.28913999999999	1962.0	1.0	2.0	22364.0		1467029.75	54.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22364.0	0.0	0.0	0.0	0.0	0.0	0.0
1392	98118.0	47.546929999999996	-122.28718	1982.0	1.0	2.0	41262.0	84.0	1903455.875	13.27	0.0	0.0	40738.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1405	98109.0	47.62038	-122.34668	1953.0	1.0	2.0	43183.0		7408342.0	92.45	0.0	0.0	26580.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11497.0	0.0
1408	98115.0	47.68566	-122.31849	1908.0	1.0	3.0	45680.0	79.0	2077039.375	86.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1418	98109.0	47.61935	-122.33389	2006.0	1.0	14.0	724148.0	8.0	37797084.0	913.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	726000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1422	98106.0	47.53439	-122.37698999999999	1957.0	1.0	1.0	23562.0	96.0	531737.1875	3.71	0.0	0.0	15212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1425	98107.0	47.65804	-122.36537	1999.0	1.0	4.0	28844.0		910718.6875	6.35	0.0	0.0	10292.0	10200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1426	98126.0	47.54176	-122.37348999999999	1988.0	1.0	2.0	54528.0	75.0	1972078.625	13.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54285.0	0.0	0.0	0.0	0.0	0.0	0.0
1429	98108.0	47.56067	-122.32646000000001	1989.0	1.0	1.0	21101.0		675772.875	27.97	0.0	0.0	2728.0	0.0	0.0	0.0	0.0	0.0	0.0	18373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1430	98108.0	47.56067	-122.32705	1914.0	1.0	2.0	45594.0	75.0	1351267.875	9.42	0.0	0.0	0.0	0.0	45594.0	0.0	0.0	0.0	0.0	45594.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1431	98108.0	47.550129999999996	-122.33044	1950.0	1.0	1.0	26660.0		2241280.5	15.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26660.0	0.0	0.0	0.0	0.0	0.0
